Date,entitlement,entitlement_Adj,entitlement_Adj
7/09/2007,4500,4661.093019,4661.093019
8/09/2007,4500,4660.686711,4660.686711
9/09/2007,4500,4663.325117,4663.325117
10/09/2007,4500,4667.578234,4667.578234
11/09/2007,4500,4673.451536,4673.451536
12/09/2007,4500,4678.195988,4678.195988
13/09/2007,4500,4679.149974,4679.149974
14/09/2007,4500,4677.534391,4677.534391
15/09/2007,4500,4675.877939,4675.877939
16/09/2007,4500,4675.261779,4675.261779
17/09/2007,4500,4675.42138,4675.42138
18/09/2007,4500,4675.884098,4675.884098
19/09/2007,4500,4676.347594,4676.347594
20/09/2007,4500,4679.291397,4679.291397
21/09/2007,4500,4694.466542,4694.466542
22/09/2007,4500,4721.438692,4721.438692
23/09/2007,4500,4748.500735,4748.500735
24/09/2007,4500,4767.296237,4767.296237
25/09/2007,4500,4777.262681,4777.262681
26/09/2007,4500,4782.013443,4782.013443
27/09/2007,4500,4784.622801,4784.622801
28/09/2007,4500,4786.539342,4786.539342
29/09/2007,4500,4787.954943,4787.954943
30/09/2007,4500,4788.914254,4788.914254
1/10/2007,5500,5789.580991,5789.580991
2/10/2007,5500,5823.720985,5823.720985
3/10/2007,5500,5832.004452,5832.004452
4/10/2007,5500,5819.265056,5819.265056
5/10/2007,5500,5804.957514,5804.957514
6/10/2007,5500,5796.93792,5796.93792
7/10/2007,5500,5795.666134,5795.666134
8/10/2007,5500,5799.721184,5799.721184
9/10/2007,5500,5805.099707,5805.099707
10/10/2007,5500,5809.090827,5809.090827
11/10/2007,5500,5810.736796,5810.736796
12/10/2007,5500,5808.785091,5808.785091
13/10/2007,5500,5804.081631,5804.081631
14/10/2007,5500,5799.515957,5799.515957
15/10/2007,5500,5796.857622,5796.857622
16/10/2007,5500,5806.743156,5806.743156
17/10/2007,5500,5837.50233,5837.50233
18/10/2007,5500,5878.957013,5878.957013
19/10/2007,5500,5916.266082,5916.266082
20/10/2007,5500,5941.331579,5941.331579
21/10/2007,5500,5954.693827,5954.693827
22/10/2007,5500,5960.084868,5960.084868
23/10/2007,5500,5960.753643,5960.753643
24/10/2007,5500,5960.167389,5960.167389
25/10/2007,5500,5959.691032,5959.691032
26/10/2007,5500,5959.615648,5959.615648
27/10/2007,5500,5959.374838,5959.374838
28/10/2007,5500,5957.434395,5957.434395
29/10/2007,5500,5955.428794,5955.428794
30/10/2007,5500,5954.059689,5954.059689
31/10/2007,5500,5953.370784,5953.370784
1/11/2007,6000,6452.965793,6452.965793
2/11/2007,6000,6454.024523,6454.024523
3/11/2007,6000,6460.60828,6460.60828
4/11/2007,6000,6460.099366,6460.099366
5/11/2007,6000,6465.309595,6465.309595
6/11/2007,6000,6457.961145,6457.961145
7/11/2007,6000,6417.561577,6417.561577
8/11/2007,6000,6324.033603,6324.033603
9/11/2007,6000,6222.938724,6222.938724
10/11/2007,6000,6162.871458,6162.871458
11/11/2007,6000,6139.860467,6139.860467
12/11/2007,6000,6133.104303,6133.104303
13/11/2007,6000,6131.316674,6131.316674
14/11/2007,6000,6130.830347,6130.830347
15/11/2007,6000,6130.686357,6130.686357
16/11/2007,6000,6130.640804,6130.640804
17/11/2007,6000,6130.625946,6130.625946
18/11/2007,6000,6130.621054,6130.621054
19/11/2007,6000,6130.619441,6130.619441
20/11/2007,6000,6130.618908,6130.618908
21/11/2007,6000,6003.222898,6003.222898
22/11/2007,6000,6000,6000
23/11/2007,6000,6000,6000
24/11/2007,6000,6000,6000
25/11/2007,6000,6000,6000
26/11/2007,6000,6000,6000
27/11/2007,6000,6000,6000
28/11/2007,6000,6000,6000
29/11/2007,6000,6000,6000
30/11/2007,6000,6000,6000
1/12/2007,7000,7000,7000
2/12/2007,7000,7000,7000
3/12/2007,7000,7000,7000
4/12/2007,7000,7000,7000
5/12/2007,7000,7000,7000
6/12/2007,7000,7000,7000
7/12/2007,7000,7000,7000
8/12/2007,7000,7000,7000
9/12/2007,7000,7000,7000
10/12/2007,7000,7000,7000
11/12/2007,7000,7000,7000
12/12/2007,7000,7000,7000
13/12/2007,7000,7000,7000
14/12/2007,7000,7000,7000
15/12/2007,7000,7000,7000
16/12/2007,7000,7000,7000
17/12/2007,7000,7000,7000
18/12/2007,7000,7000,7000
19/12/2007,7000,7000,7000
20/12/2007,7000,7000,7000
21/12/2007,7000,7000,7000
22/12/2007,7000,7000,7000
23/12/2007,7000,7000,7000
24/12/2007,7000,7000,7000
25/12/2007,7000,7000,7000
26/12/2007,7000,7000,7000
27/12/2007,7000,7000,7000
28/12/2007,7000,7000,7000
29/12/2007,7000,7000,7000
30/12/2007,7000,7000,7000
31/12/2007,7000,7000,7000
1/01/2008,7000,7000,7000
2/01/2008,7000,7000,7000
3/01/2008,7000,7000,7000
4/01/2008,7000,7000,7000
5/01/2008,7000,7000,7000
6/01/2008,7000,7000,7000
7/01/2008,7000,7000,7000
8/01/2008,7000,7000,7000
9/01/2008,7000,7000,7000
10/01/2008,7000,7000,7000
11/01/2008,7000,7000,7000
12/01/2008,7000,7000,7000
13/01/2008,7000,7000,7000
14/01/2008,7000,7000,7000
15/01/2008,7000,7000,7000
16/01/2008,7000,7000,7000
17/01/2008,7000,7000,7000
18/01/2008,7000,7000,7000
19/01/2008,7000,7000,7000
20/01/2008,7000,7000,7000
21/01/2008,7000,7000,7000
22/01/2008,7000,7000,7000
23/01/2008,7000,7000,7000
24/01/2008,7000,7000.000001,7000.000001
25/01/2008,7000,7000,7000
26/01/2008,7000,7000,7000
27/01/2008,7000,7000,7000
28/01/2008,7000,7000.000001,7000.000001
29/01/2008,7000,7000,7000
30/01/2008,7000,7000,7000
31/01/2008,7000,7000,7000
1/02/2008,6928.571429,6928.571429,6928.571429
2/02/2008,6928.571429,6928.571429,6928.571429
3/02/2008,6928.571429,6928.571429,6928.571429
4/02/2008,6928.571429,6928.571429,6928.571429
5/02/2008,6928.571429,6928.571429,6928.571429
6/02/2008,6928.571429,6928.571429,6928.571429
7/02/2008,6928.571429,6928.571429,6928.571429
8/02/2008,6928.571429,6928.571429,6928.571429
9/02/2008,6928.571429,6928.571429,6928.571429
10/02/2008,6928.571429,6928.571429,6928.571429
11/02/2008,6928.571429,6928.571429,6928.571429
12/02/2008,6928.571429,6928.571429,6928.571429
13/02/2008,6928.571429,6928.571429,6928.571429
14/02/2008,6928.571429,6928.571429,6928.571429
15/02/2008,6928.571429,6928.571429,6928.571429
16/02/2008,6928.571429,6928.571429,6928.571429
17/02/2008,6928.571429,6928.571429,6928.571429
18/02/2008,6928.571429,6928.571429,6928.571429
19/02/2008,6928.571429,6928.571429,6928.571429
20/02/2008,6928.571429,6928.571429,6928.571429
21/02/2008,6928.571429,6928.571429,6928.571429
22/02/2008,6928.571429,6928.571429,6928.571429
23/02/2008,6928.571429,6928.571429,6928.571429
24/02/2008,6928.571429,6928.571429,6928.571429
25/02/2008,6928.571429,6928.571429,6928.571429
26/02/2008,6928.571429,6928.571429,6928.571429
27/02/2008,6928.571429,6928.571429,6928.571429
28/02/2008,6928.571429,6928.571429,6928.571429
29/02/2008,6928.571429,6928.571429,6928.571429
1/03/2008,6000,6000,6000
2/03/2008,6000,6000,6000
3/03/2008,6000,6000,6000
4/03/2008,6000,6000,6000
5/03/2008,6000,6000,6000
6/03/2008,6000,6000,6000
7/03/2008,6000,6000,6000
8/03/2008,6000,6000,6000
9/03/2008,6000,6000,6000
10/03/2008,6000,6000,6000
11/03/2008,6000,6000,6000
12/03/2008,6000,6000,6000
13/03/2008,6000,6000,6000
14/03/2008,6000,6000,6000
15/03/2008,6000,6000,6000
16/03/2008,6000,6000,6000
17/03/2008,6000,6000,6000
18/03/2008,6000,6000,6000
19/03/2008,6000,6000,6000
20/03/2008,6000,6000,6000
21/03/2008,6000,6000,6000
22/03/2008,6000,6000,6000
23/03/2008,6000,6000,6000
24/03/2008,6000,6000,6000
25/03/2008,6000,6000,6000
26/03/2008,6000,6000,6000
27/03/2008,6000,6000,6000
28/03/2008,6000,6000,6000
29/03/2008,6000,6000,6000
30/03/2008,6000,6000,6000
31/03/2008,6000,6000,6000
1/04/2008,4500,4500,4500
2/04/2008,4500,4500,4500
3/04/2008,4500,4500,4500
4/04/2008,4500,4500,4500
5/04/2008,4500,4500,4500
6/04/2008,4500,4500,4500
7/04/2008,4500,4500,4500
8/04/2008,4500,4500,4500
9/04/2008,4500,4500,4500
10/04/2008,4500,4500,4500
11/04/2008,4500,4500,4500
12/04/2008,4500,4500,4500
13/04/2008,4500,4500,4500
14/04/2008,4500,4500,4500
15/04/2008,4500,4500,4500
16/04/2008,4500,4500,4500
17/04/2008,4500,4500,4500
18/04/2008,4500,4500,4500
19/04/2008,4500,4500,4500
20/04/2008,4500,4500,4500
21/04/2008,4500,4500,4500
22/04/2008,4500,4500,4500
23/04/2008,4500,4500,4500
24/04/2008,4500,4500,4500
25/04/2008,4500,4500,4500
26/04/2008,4500,4500,4500
27/04/2008,4500,4500,4500
28/04/2008,4500,4500,4500
29/04/2008,4500,4500,4500
30/04/2008,4500,4500,4500
1/05/2008,3000,3000,3000
2/05/2008,3000,3000,3000
3/05/2008,3000,3000,3000
4/05/2008,3000,3000,3000
5/05/2008,3000,3000,3000
6/05/2008,3000,3000,3000
7/05/2008,3000,3000,3000
8/05/2008,3000,3000,3000
9/05/2008,3000,3000,3000
10/05/2008,3000,3000,3000
11/05/2008,3000,3000,3000
12/05/2008,3000,3000,3000
13/05/2008,3000,3000,3000
14/05/2008,3000,3000,3000
15/05/2008,3000,3000,3000
16/05/2008,3000,3000,3000
17/05/2008,3000,3000,3000
18/05/2008,3000,3000,3000
19/05/2008,3000,3000,3000
20/05/2008,3000,3000,3000
21/05/2008,3000,3000,3000
22/05/2008,3000,3000,3000
23/05/2008,3000,3000,3000
24/05/2008,3000,3000,3000
25/05/2008,3000,3000,3000
26/05/2008,3000,3000,3000
27/05/2008,3000,3000,3000
28/05/2008,3000,3000,3000
29/05/2008,3000,3000,3000
30/05/2008,3000,3000,3000
31/05/2008,3000,3000,3000
1/06/2008,3000,3000,3000
2/06/2008,3000,3000,3000
3/06/2008,3000,3000,3000
4/06/2008,3000,3000,3000
5/06/2008,3000,3000,3000
6/06/2008,3000,3000,3000
7/06/2008,3000,3000,3000
8/06/2008,3000,3000,3000
9/06/2008,3000,3000,3000
10/06/2008,3000,3000,3000
11/06/2008,3000,3000,3000
12/06/2008,3000,3000,3000
13/06/2008,3000,3000,3000
14/06/2008,3000,3000,3000
15/06/2008,3000,3000,3000
16/06/2008,3000,3000,3000
17/06/2008,3000,3000,3000
18/06/2008,3000,3000,3000
19/06/2008,3000,3000,3000
20/06/2008,3000,3000,3000
21/06/2008,3000,3000,3000
22/06/2008,3000,3000,3000
23/06/2008,3000,3000,3000
24/06/2008,3000,3000,3000
25/06/2008,3000,3000,3000
26/06/2008,3000,3000,3000
27/06/2008,3000,3000,3000
28/06/2008,3000,3000,3000
29/06/2008,3000,3000,3000
30/06/2008,3000,3000,3000
